"IdSubject" "IdActivity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"1" "WALKING" 6773.24210526316 7099.42105263158 6724.31578947368 7473.44210526316 6730.4 3860.78947368421 6729.04210526316 7309.12631578947 7477.6 6818.05263157895 7701.01052631579 6770.48421052632 7865.72631578947 8760.74736842105 8126.68421052632 3799.82105263158 3799.82105263158 3789.29473684211 3922.91578947368 3377.15789473684 3774.21052631579 8117.24210526316 4228.21052631579 4979.27368421053 7157.64210526316 6009.62105263158 3793.86315789474 5783.09473684211 4363.28421052632 4559.73684210526 6038.67368421053 5204.51578947368 4268.28421052632 4112.57894736842 4049.50526315789 6499 5231.86315789474 5963 3905.22105263158 7877.18947368421 4900.24210526316 5565.31578947368 3431.09473684211 9071.82105263158 3305.68421052632 7258.07368421053 4185.05263157895 8829.94736842105 4112.16842105263 6239.73684210526 6488.42105263158 6047.56842105263 4138.05263157895 7955.32631578947 4373.07368421053 4654.96842105263 4859.78947368421 4600.02105263158 3282.84210526316 3289.15789473684 3976.88421052632 3846.56842105263 3846.56842105263 4876.31578947368 3504.74736842105 3296.70526315789 4370.37894736842 7927.4 4086.94736842105 4135.05263157895 8733.34736842105 4360.31578947368 4702.17894736842 5439.82105263158 4794.2 4554.13684210526 4495.82105263158 3840.32631578947 3384.21052631579
"10" "WALKING" 1527.64150943396 1390.33962264151 1533.66037735849 2440.50943396226 1515.01886792453 1527.03773584906 1602.35849056604 1717.39622641509 1800.75471698113 1780.8679245283 1652.69811320755 1579.16981132075 2123.81132075472 2186.32075471698 2172.79245283019 353.150943396226 353.150943396226 342.075471698113 251.811320754717 404.698113207547 611.301886792453 1615.09433962264 765.094339622642 924.905660377358 2320.77358490566 2157.98113207547 710.77358490566 1571.07547169811 559.301886792453 859.962264150943 889.320754716981 1719.67924528302 390.150943396226 368.88679245283 423.283018867925 1085.47169811321 1217.94339622642 893.698113207547 561.207547169811 1876.39622641509 1712.39622641509 753.283018867925 516.037735849057 1957.7358490566 478.603773584906 759.471698113208 432.037735849057 1454.77358490566 886.22641509434 1251.1320754717 1492.1320754717 1411.39622641509 982.433962264151 1810.54716981132 601.660377358491 516.490566037736 212.150943396226 206.22641509434 365.132075471698 434.830188679245 294.754716981132 379.132075471698 379.132075471698 1820.2641509434 572.584905660377 457.981132075472 493.245283018868 853.716981132075 932.603773584906 963.11320754717 1679.28301886792 634.415094339623 532.490566037736 148.509433962264 278.698113207547 580.037735849057 1948.56603773585 670.698113207547 437.207547169811
"11" "WALKING" 6211.47457627119 6322.38983050847 6311.62711864407 8101.57627118644 5496.01694915254 7761.91525423729 7002.76271186441 7049.27118644068 7155.52542372881 7358.74576271186 6443.30508474576 7094.74576271186 6936.25423728814 8298.93220338983 7584.89830508475 4680.8813559322 4680.8813559322 5038.22033898305 5338.30508474576 5331.76271186441 4812.38983050847 5448.10169491525 5749.05084745763 6292.49152542373 5872.05084745763 6234.52542372881 5010.61016949153 4098.13559322034 5618.27118644068 5427.40677966102 6417.20338983051 5482.18644067797 5428.22033898305 5286.93220338983 4985.98305084746 5729.61016949153 5916.37288135593 5262.93220338983 5047.91525423729 6650.08474576271 4736.47457627119 5712.86440677966 5665.62711864407 4845.79661016949 5711.64406779661 5678.05084745763 4959.33898305085 5680.96610169491 5482.47457627119 6638.45762711864 6198.84745762712 6686.64406779661 4913 3933.38983050847 5680.37288135593 5509.3220338983 4763.69491525424 5244.25423728814 5026.81355932203 5419.40677966102 4986.45762711864 5218.1186440678 5218.1186440678 4765.79661016949 5526.37288135593 5694.64406779661 4979.15254237288 4546.52542372881 5410.96610169491 5018.25423728814 4493.18644067797 5720.3220338983 5459.1186440678 4426.5593220339 5271.42372881356 5710.33898305085 4700.74576271186 5542.71186440678 5680.84745762712
"12" "WALKING" 1483.9 1719.58 1199.3 2591.26 609.48 135.4 1477.36 1475.38 1824.48 1695.8 1475 1601.94 1557.48 2040.9 2033.46 330.44 330.44 433.82 756.62 597.62 958.94 993.12 762.38 1043.78 1993.58 1842.76 999.68 508.28 651.74 837.24 824.64 790.9 721.4 630.26 612.66 1430.22 1229.28 1546.88 783 2142.26 1263.94 948.88 604.82 1950.56 596.34 1101.6 378.58 804.24 861.84 1379.6 1282.94 1259.06 1372.98 781.08 619.34 897.6 625.34 625.78 471.46 613.3 620.54 416.96 416.96 1183.82 609.98 567.96 268.04 642.02 923.12 1353.36 1008.1 570.98 928.46 620.76 656.62 692.66 1058.56 656.42 541.02
"13" "WALKING" 1474.38596491228 1531.17543859649 1603.61403508772 1280.9298245614 1373.10526315789 1091.49122807018 1420.61403508772 1549.17543859649 1901.0350877193 1684.80701754386 1470.84210526316 1457.19298245614 2038.9298245614 2180.80701754386 1798.12280701754 377.578947368421 377.578947368421 334.894736842105 537.070175438596 158.087719298246 673.859649122807 1825.01754385965 436.385964912281 794.315789473684 1175.33333333333 1751.49122807018 544.385964912281 1435.29824561404 332.947368421053 679.947368421053 1583.12280701754 1085.52631578947 1300.78947368421 546.947368421053 473.087719298246 1480.64912280702 1874.42105263158 1960.19298245614 414.964912280702 2167.24561403509 409.561403508772 1268.75438596491 408.929824561404 2520.28070175439 363.017543859649 1873.0350877193 750.526315789474 1892.70175438596 723.140350877193 1218.61403508772 1330.35087719298 1315.49122807018 488.666666666667 1519.12280701754 335.771929824561 638.070175438596 308.438596491228 647.736842105263 525.245614035088 449.929824561404 376.456140350877 546.157894736842 546.157894736842 498.684210526316 402.578947368421 387.421052631579 752.245614035088 1656.98245614035 731.315789473684 513.947368421053 1550.33333333333 337.543859649123 681.649122807018 335.684210526316 726.210526315789 783.438596491228 855.052631578947 545.315789473684 270.859649122807
"14" "WALKING" 6142.47457627119 7053.23728813559 6732.27118644068 4821.35593220339 6638.84745762712 6024.20338983051 6527.03389830509 6965.05084745763 7715.10169491525 6486.37288135593 7137.49152542373 6293.40677966102 7071.37288135593 8005.69491525424 8248.52542372881 3848.16949152542 3848.16949152542 4914.18644067797 3859.67796610169 4490.57627118644 4918.93220338983 4046.13559322034 3936.49152542373 6152.71186440678 5118.33898305085 4626.28813559322 5099.81355932203 4806.74576271186 4046.4406779661 4723.10169491525 5816.84745762712 5508.1186440678 5408.8813559322 3398.54237288136 4096.93220338983 5097.47457627119 6846.77966101695 6270.05084745763 4646.03389830509 4834.86440677966 4901.30508474576 6492.79661016949 3775.50847457627 5061.22033898305 4487.76271186441 7376.01694915254 4870.05084745763 4347.42372881356 7554.94915254237 6079.23728813559 5480.06779661017 5611.84745762712 5036.93220338983 4593.94915254237 4176 5556.79661016949 6585.84745762712 3702.89830508475 5229.49152542373 4066.96610169492 4574.6779661017 4629.3220338983 4629.3220338983 4946.28813559322 3555.8813559322 4591.74576271186 4804.91525423729 4411.71186440678 9149.91525423729 5183.64406779661 4532.30508474576 4305.50847457627 5524.33898305085 9097.76271186441 3533 4973.25423728814 4883.86440677966 3566.35593220339 4749.59322033898
"15" "WALKING" 6613.72222222222 7552.35185185185 6387.53703703704 8409.46296296296 5963.37037037037 7172.85185185185 7148.48148148148 7167.5 7495.51851851852 7406.64814814815 6914.53703703704 6781.14814814815 7526.11111111111 7885.46296296296 7971.61111111111 4122.16666666667 4122.16666666667 4579.46296296296 4294.72222222222 4671.18518518519 4387.90740740741 8025.7962962963 5498.77777777778 6488.05555555556 6191.94444444444 5548.92592592593 4672.12962962963 5964.44444444444 5383.74074074074 5153.88888888889 5529.68518518519 5747.42592592593 3951.77777777778 4931.09259259259 5224.2962962963 6006.66666666667 6202.92592592593 6365.22222222222 4183.94444444444 6449.2037037037 4248.38888888889 4842.51851851852 4880.96296296296 5216.75925925926 4911.59259259259 4831.44444444444 4438.24074074074 8460.37037037037 5394.75925925926 6373.35185185185 6403.31481481481 6364.46296296296 4624.11111111111 6586.2962962963 5482.16666666667 3772.27777777778 4521.48148148148 5255.7037037037 3548.40740740741 5145.59259259259 5272.31481481481 4408.94444444444 4408.94444444444 4334.22222222222 4778.7037037037 4836.92592592593 4439 7821.72222222222 5382.77777777778 4788.85185185185 5729.83333333333 5569.42592592593 3758.46296296296 4277.33333333333 5247.35185185185 4955.59259259259 4493.2037037037 4812.38888888889 4737.44444444444
"16" "WALKING" 6468.29411764706 6594.96078431373 6547.47058823529 7098.35294117647 6917.94117647059 5067.05882352941 6466.07843137255 6820.76470588235 7664.21568627451 6341.58823529412 5822.33333333333 6452.3137254902 7245.92156862745 6953.43137254902 7545.82352941176 4587.47058823529 4587.47058823529 4843.54901960784 5589.45098039216 5609.07843137255 4826.23529411765 4596.1568627451 3678.86274509804 6062.49019607843 5421 5674.49019607843 4962.78431372549 5146.43137254902 4076.66666666667 5312.27450980392 6247.39215686274 6300.03921568627 5793.94117647059 5435.92156862745 5155.27450980392 5492.35294117647 5553.92156862745 6058.8431372549 4834.58823529412 7709.74509803922 4671.82352941176 5529.58823529412 5908.09803921569 8419.74509803922 5508.13725490196 6294.86274509804 4903.6862745098 4516.11764705882 3528.8431372549 6764.76470588235 6664.98039215686 6633.09803921569 4766.70588235294 4923.01960784314 3985.58823529412 5878.8431372549 5405.78431372549 4758.13725490196 5795.11764705882 5224.76470588235 5129.21568627451 5163.05882352941 5163.05882352941 4775.94117647059 5906.33333333333 5488.50980392157 4880.74509803922 4771.58823529412 3580.94117647059 4770.29411764706 4850.45098039216 3908.80392156863 5809.01960784314 5290.05882352941 4528.03921568627 5744.96078431373 4816.41176470588 6068.94117647059 5467.03921568627
"17" "WALKING" 6327.14754098361 5881.55737704918 6733.90163934426 7077.29508196721 5116.09836065574 4880.67213114754 6539.80327868852 6439.70491803279 7857.09836065574 6527.2131147541 5703.18032786885 6655.08196721311 6692.39344262295 7550 7178.54098360656 3885.03278688525 3885.03278688525 4487.18032786885 4898.80327868852 4475.98360655738 4621.50819672131 4048.81967213115 4569.68852459016 6790.01639344262 5663 4666.03278688525 4850 3963.49180327869 4674.26229508197 6014.24590163934 6171.68852459016 6286 4735.55737704918 4641.72131147541 4955.96721311475 5275.01639344262 7054.26229508197 5137.7868852459 4926.45901639344 7505.72131147541 4464.39344262295 5410.01639344262 5108.52459016393 8941.50819672131 4449.29508196721 6684.37704918033 4401.26229508197 5076.65573770492 4144.83606557377 6567.7868852459 6222.34426229508 6326.26229508197 4546.93442622951 4094.44262295082 4561.36065573771 4712.90163934426 4488.90163934426 4915.5737704918 4333.14754098361 4330.88524590164 4782.96721311475 5090.80327868852 5090.80327868852 4151.13114754098 5326.63934426229 4166.11475409836 4266 3956.06557377049 4003.7868852459 4445.55737704918 5735.60655737705 4403.31147540984 4648.44262295082 4338.68852459016 4816.93442622951 5584.75409836066 3768.55737704918 5545.60655737705 3926.5737704918
"18" "WALKING" 1460 1645.5 1380.33928571429 1507.42857142857 1235.23214285714 1322.01785714286 1586.98214285714 1798.75 1875.17857142857 1243.66071428571 1457.91071428571 1523.32142857143 1408.5 1956 1649.69642857143 842.892857142857 842.892857142857 824.875 1112.57142857143 960.214285714286 778.535714285714 566.821428571429 935.571428571429 1312.19642857143 1437.51785714286 1102.05357142857 809.339285714286 699.446428571429 934.125 986.607142857143 1191.19642857143 864.035714285714 1191.875 889.464285714286 1139.57142857143 1464.01785714286 1127.30357142857 1122.76785714286 876.571428571429 1707.67857142857 824.035714285714 1147.25 1141.94642857143 2089.32142857143 1064.98214285714 1980.69642857143 833.571428571429 608.160714285714 908.660714285714 1560.16071428571 1647.10714285714 1713.07142857143 734.035714285714 634.053571428571 942.517857142857 1298.85714285714 734.678571428571 1018.07142857143 946.464285714286 898.732142857143 1144.26785714286 955.660714285714 955.660714285714 821.071428571429 1181.73214285714 1089.96428571429 825.267857142857 710.482142857143 883.285714285714 706.25 606.285714285714 935 1307.60714285714 619.375 969.75 1119.75 800.125 1222.92857142857 1122.92857142857
